protocol,model,event_count,row_count,RMSE_log_event_mean_CI,coverage_event_mean_CI,coverage_gap_vs_0p90,interval_score_90_CI,q95_abs_log,tail_ratio,test_cal_resid_sd_ratio
event-disjoint target,XGB direct,8,29920,"0.162 [0.135, 0.189]","0.646 [0.553, 0.745]",-0.254,"0.914 [0.672, 1.183]",0.327,2.67,1.71
event-disjoint target,LGBM direct,8,29920,"0.166 [0.139, 0.196]","0.684 [0.586, 0.771]",-0.216,"0.899 [0.637, 1.207]",0.329,2.81,1.56
event-disjoint target,HGB direct,8,29920,"0.175 [0.150, 0.202]","0.636 [0.543, 0.729]",-0.264,"0.981 [0.724, 1.283]",0.338,2.90,1.65
event-disjoint target,RF direct,8,29920,"0.195 [0.169, 0.221]","0.644 [0.545, 0.743]",-0.256,"1.056 [0.810, 1.311]",0.375,2.64,1.62
event-disjoint target,MLP finetune,8,29920,"0.244 [0.166, 0.338]","0.696 [0.566, 0.820]",-0.204,"1.585 [0.796, 2.577]",0.795,4.08,2.72
event-disjoint target,Ridge direct,8,29920,"0.376 [0.297, 0.468]","0.489 [0.333, 0.650]",-0.411,"2.532 [1.487, 3.830]",0.909,2.76,1.88
event-disjoint target,MLP scratch,8,29920,"0.476 [0.240, 0.775]","0.660 [0.491, 0.821]",-0.240,"3.991 [1.008, 7.777]",2.106,6.08,3.74
main event-held-out,XGB direct,14,29760,"0.156 [0.137, 0.178]","0.706 [0.615, 0.787]",-0.194,"0.820 [0.642, 1.025]",0.305,3.10,1.44
main event-held-out,LGBM direct,14,29760,"0.161 [0.140, 0.183]","0.748 [0.677, 0.814]",-0.152,"0.801 [0.617, 1.023]",0.317,3.13,1.33
main event-held-out,HGB direct,14,29760,"0.167 [0.145, 0.190]","0.701 [0.618, 0.778]",-0.199,"0.890 [0.690, 1.101]",0.330,3.24,1.47
main event-held-out,RF direct,14,29760,"0.170 [0.147, 0.195]","0.752 [0.662, 0.833]",-0.148,"0.841 [0.660, 1.059]",0.333,3.13,1.33
main event-held-out,MLP finetune,14,29760,"0.182 [0.154, 0.209]","0.820 [0.736, 0.892]",-0.080,"0.853 [0.698, 1.023]",0.373,3.17,1.07
main event-held-out,MLP scratch,14,29760,"0.183 [0.157, 0.211]","0.892 [0.836, 0.936]",-0.008,"0.812 [0.693, 0.987]",0.382,3.08,0.91
main event-held-out,Ridge direct,14,29760,"0.235 [0.180, 0.294]","0.763 [0.640, 0.871]",-0.137,"1.191 [0.882, 1.628]",0.452,2.82,1.16
