analysis,model,model_label,calibration_budget,interval_level,beta_false_safe_cons_median,beta_false_safe_cons_p05,beta_false_safe_cons_p95,p_false_safe_median,p_false_safe_p05,p_false_safe_p95,p_false_unsafe_median,p_false_unsafe_p05,p_false_unsafe_p95,q_value_log_median,q_value_log_p05,q_value_log_p95,replicate_count,gate,gate_pass_replicate_rate
interval widening,lgbm_direct,LGBM direct,250,0.9,2.477541853515251,2.2455519861537914,2.7009331934711063,0.0028928894927536227,0.0013275588768115942,0.005811820652173913,0.019774682971014493,0.014420572916666666,0.02634595788043478,0.1725081230604357,0.1523481049283926,0.19573604625206012,10,Fail,0.5
interval widening,lgbm_direct,LGBM direct,250,0.95,2.8277595484479914,2.422360827370785,4.683933491033204,0.0009114583333333333,0.00017578125000000002,0.004067028985507244,0.02568500905797101,0.018968523550724637,0.03929064764492754,0.22225328280436654,0.19478768040985128,0.26676152179127066,10,Pass,0.9
interval widening,lgbm_direct,LGBM direct,250,0.975,4.6785803664709995,2.685601731206043,5.9978070150076865,6.510416666666667e-05,0.0,0.0013592617753623183,0.03968240489130435,0.02809159873188406,0.058599977355072455,0.28401011713420155,0.23747264636354706,0.3346049535700138,10,Pass,1.0
interval widening,ridge_direct,Ridge direct,250,0.9,2.645701413211112,2.6365998156365227,2.7529150205846658,0.0016191123188405796,0.0011998980978260869,0.0018795289855072462,0.12629359148550723,0.07196699501811593,0.1444033061594203,0.2978981351468048,0.2667631516762358,0.32966492741739684,10,Pass,1.0
interval widening,ridge_direct,Ridge direct,250,0.95,3.1628179656212856,2.63414042147927,5.9978070150076865,0.00026041666666666666,0.0,0.0016191123188405796,0.15567821557971012,0.08483101222826087,0.17599128170289852,0.3868317750849741,0.33459321887983917,0.44392256151046944,10,Pass,1.0
interval widening,ridge_direct,Ridge direct,250,0.975,5.9978070150076865,3.1628179656212856,5.9978070150076865,0.0,0.0,0.00026041666666666666,0.1733327672101449,0.10895776721014493,0.21132416213768118,0.466998437446092,0.4199955525218729,0.5255217279244595,10,Pass,1.0
interval widening,scratch_mlp,MLP scratch,250,0.9,2.0976338780909227,2.092008678722905,2.1341037106984215,0.006054687500000001,0.00548828125,0.006674309329710144,0.05410439311594203,0.03721807065217392,0.06110733695652174,0.318118968218561,0.2862251964902634,0.33683043003295193,10,Fail,0.0
interval widening,scratch_mlp,MLP scratch,250,0.95,2.0976338780909227,2.0976338780909227,2.1455547320249484,0.005989583333333334,0.005345052083333334,0.006263020833333334,0.06476449275362318,0.04968834918478261,0.0794916213768116,0.38292924649904214,0.36325131635149055,0.4297936990540215,10,Fail,0.0
interval widening,scratch_mlp,MLP scratch,250,0.975,2.0976338780909227,2.0976338780909227,2.183437898419332,0.005989583333333334,0.004915364583333334,0.0062044270833333335,0.07571614583333333,0.06067057291666667,0.0990741055253623,0.4614255642610021,0.4220923909895279,0.5408651724506508,10,Fail,0.0
interval widening,xgb_direct,XGB direct,250,0.9,2.31774714237726,2.1707172663966157,2.559470802072653,0.004288383152173913,0.0023893229166666668,0.006853487318840579,0.01699501811594203,0.01240319293478261,0.02025815217391304,0.16110163652653606,0.13607732110277102,0.17967637921079366,10,Fail,0.2
interval widening,xgb_direct,XGB direct,250,0.95,2.447186148854453,2.279995063964569,2.889978800941053,0.003453351449275362,0.0009895833333333332,0.00552536231884058,0.02023324275362319,0.015506397192028985,0.028756793478260868,0.20282988609905095,0.16760427970589672,0.2289498235540062,10,Fail,0.5
interval widening,xgb_direct,XGB direct,250,0.975,2.5814721511482843,2.383703587348324,4.722061942783803,0.0020833333333333333,0.0001171875,0.004229789402173912,0.025710484601449275,0.017022192028985507,0.04492583786231883,0.2416749361073258,0.20676906193828207,0.319760096127671,10,Pass,0.6
