model_label,pga_bin,median_coverage,q05_coverage,q95_coverage,min_rep_coverage,median_event_count
Ridge direct,low PGA,0.4883680555555555,0.37864583333333335,0.5216840277777778,0.3520833333333333,3.0
Ridge direct,mid PGA,0.4432291666666667,0.41130208333333335,0.49645833333333333,0.40520833333333334,2.0
Ridge direct,high PGA,0.569931653491436,0.5418883124725516,0.5895548556214317,0.5398070377689943,3.0
LGBM direct,low PGA,0.5925347222222221,0.5083854166666667,0.6347743055555556,0.48541666666666666,3.0
LGBM direct,mid PGA,0.6986979166666667,0.6690625,0.7361197916666666,0.6625,2.0
LGBM direct,high PGA,0.43686182476943347,0.3976888449714537,0.49787137681159427,0.39264931927975405,3.0
XGB direct,low PGA,0.5282986111111112,0.45993055555555556,0.5619791666666666,0.43993055555555555,3.0
XGB direct,mid PGA,0.6802083333333333,0.595,0.7214583333333333,0.56875,2.0
XGB direct,high PGA,0.42613636363636365,0.38648852657004834,0.4984628897672375,0.37513724198506804,3.0
MLP scratch,low PGA,0.6819444444444445,0.6138368055555555,0.7483159722222222,0.5993055555555555,3.0
MLP scratch,mid PGA,0.534375,0.432734375,0.682265625,0.415625,2.0
MLP scratch,high PGA,0.6761912604303908,0.6295447683355292,0.7280347633948177,0.6290074659639877,3.0
