threshold_idr,cost_ratio_false_safe,selected_action,selected_model,expected_loss,fallback_workload,beta_false_safe_cons,eligible_model_count
0.005,1,XGB direct,XGB direct,0.0504036458333333,0.11416157155797099,2.625534802696099,5
0.005,2,XGB direct,XGB direct,0.0523788496376811,0.11416157155797099,2.625534802696099,5
0.005,5,XGB direct,XGB direct,0.0583044610507246,0.11416157155797099,2.625534802696099,5
0.005,10,LGBM direct,LGBM direct,0.0679053442028985,0.1265591032608695,2.900168627921686,5
0.005,25,LGBM direct,LGBM direct,0.0802524909420289,0.1265591032608695,2.900168627921686,5
0.005,50,LGBM direct,LGBM direct,0.1008310688405797,0.1265591032608695,2.900168627921686,5
0.005,100,LGBM direct,LGBM direct,0.1419882246376811,0.1265591032608695,2.900168627921686,5
0.0075,1,LGBM direct,LGBM direct,0.0312788722826087,0.06359544836956521,2.678372109884344,2
0.0075,2,LGBM direct,LGBM direct,0.0328685461956521,0.06359544836956521,2.678372109884344,2
0.0075,5,LGBM direct,LGBM direct,0.0376375679347826,0.06359544836956521,2.678372109884344,2
0.0075,10,LGBM direct,LGBM direct,0.0455859375,0.06359544836956521,2.678372109884344,2
0.0075,25,HGB direct,HGB direct,0.0657484148550724,0.0687001811594202,2.794843663109144,2
0.0075,50,HGB direct,HGB direct,0.0970408740942029,0.0687001811594202,2.794843663109144,2
0.0075,100,HGB direct,HGB direct,0.1596257925724637,0.0687001811594202,2.794843663109144,2
0.01,1,Ridge direct,Ridge direct,0.1171201313405797,0.1318098958333333,2.6389028246731234,1
0.01,2,Ridge direct,Ridge direct,0.1186973505434782,0.1318098958333333,2.6389028246731234,1
0.01,5,Ridge direct,Ridge direct,0.1234290081521739,0.1318098958333333,2.6389028246731234,1
0.01,10,Ridge direct,Ridge direct,0.1313151041666666,0.1318098958333333,2.6389028246731234,1
0.01,25,Ridge direct,Ridge direct,0.1549733922101449,0.1318098958333333,2.6389028246731234,1
0.01,50,Ridge direct,Ridge direct,0.1944038722826087,0.1318098958333333,2.6389028246731234,1
0.01,100,Ridge direct,Ridge direct,0.2732648324275362,0.1318098958333333,2.6389028246731234,1
0.015,1,XGB direct,XGB direct,0.0147344882246376,0.0156504755434783,2.80203572448432,7
0.015,2,XGB direct,XGB direct,0.0157370923913043,0.0156504755434783,2.80203572448432,7
0.015,5,XGB direct,XGB direct,0.0187449048913043,0.0156504755434783,2.80203572448432,7
0.015,10,XGB direct,XGB direct,0.0237579257246376,0.0156504755434783,2.80203572448432,7
0.015,25,XGB direct,XGB direct,0.0387969882246376,0.0156504755434783,2.80203572448432,7
0.015,50,XGB direct,XGB direct,0.0638620923913043,0.0156504755434783,2.80203572448432,7
0.015,100,Ridge direct,Ridge direct,0.0947582653985507,0.08847373188405787,3.456679426695983,7
0.02,1,LGBM direct,LGBM direct,0.0084918478260869,0.0084918478260869,4.753424308822899,7
0.02,2,LGBM direct,LGBM direct,0.0084918478260869,0.0084918478260869,4.753424308822899,7
0.02,5,LGBM direct,LGBM direct,0.0084918478260869,0.0084918478260869,4.753424308822899,7
0.02,10,LGBM direct,LGBM direct,0.0084918478260869,0.0084918478260869,4.753424308822899,7
0.02,25,LGBM direct,LGBM direct,0.0084918478260869,0.0084918478260869,4.753424308822899,7
0.02,50,LGBM direct,LGBM direct,0.0084918478260869,0.0084918478260869,4.753424308822899,7
0.02,100,LGBM direct,LGBM direct,0.0084918478260869,0.0084918478260869,4.753424308822899,7
0.03,1,XGB direct,XGB direct,0.0003396739130434,0.0003396739130434,4.753424308822899,7
0.03,2,XGB direct,XGB direct,0.0003396739130434,0.0003396739130434,4.753424308822899,7
0.03,5,XGB direct,XGB direct,0.0003396739130434,0.0003396739130434,4.753424308822899,7
0.03,10,XGB direct,XGB direct,0.0003396739130434,0.0003396739130434,4.753424308822899,7
0.03,25,XGB direct,XGB direct,0.0003396739130434,0.0003396739130434,4.753424308822899,7
0.03,50,XGB direct,XGB direct,0.0003396739130434,0.0003396739130434,4.753424308822899,7
0.03,100,XGB direct,XGB direct,0.0003396739130434,0.0003396739130434,4.753424308822899,7
0.04,1,HGB direct,HGB direct,0.0,0.0,4.753424308822899,7
0.04,2,HGB direct,HGB direct,0.0,0.0,4.753424308822899,7
0.04,5,HGB direct,HGB direct,0.0,0.0,4.753424308822899,7
0.04,10,HGB direct,HGB direct,0.0,0.0,4.753424308822899,7
0.04,25,HGB direct,HGB direct,0.0,0.0,4.753424308822899,7
0.04,50,HGB direct,HGB direct,0.0,0.0,4.753424308822899,7
0.04,100,HGB direct,HGB direct,0.0,0.0,4.753424308822899,7
