event_id,event_title,magnitude,n_components,pga_min_g,pga_median_g,pga_max_g,protocol_role
20100227_0634,"20100227 06:34 UTC, Offshore Maule, Chile, Mw 8.8 Earthquake Data",8.8,2,0.5912969887252226,0.6194155316724514,0.6475340746196804,source
20070912_1110,"20070912 11:10 UTC, Southern Sumatra, Indonesia, Mw 8.4 Earthquake Data",8.4,2,0.0372905538145288,0.038853064855520855,0.0404155758965129,source
20070912_2349,"20070912 23:49 UTC, Kepulauan Mentawai Region, Indonesia, Mw 7.9 Earthquake Data",7.9,2,0.1135776552888597,0.11977708816036375,0.1259765210318678,source
20010113_1,"January 13, 2001, Mw 7.6 El Salvador Earthquake Data",7.6,47,0.0126334852496257,0.1834948371418906,0.8762027109464559,source
20071129_1900,"20071129 03:37 UTC, Martinique Region, Windward Islands, Mw 7.4 Earthquake Data",7.4,2,0.0076947691873775,0.0084372452964837,0.0091797214055899,source
20100404_2240,"20100404 22:40 UTC, Sierra El Mayor, Mexico, Mw 7.2 Earthquake Data",7.2,60,0.0050637857128999,0.0159024778364934,0.3801776898313935,source
20111023_1041,"20111023 10:41 UTC, Van, Turkey, Mw 7.2 Earthquake Data",7.2,2,0.0076177860668499,0.008754260320489999,0.0098907345741301,source
20050615_0250,"20050615 02:50 UTC, Offshore Northern California, Mw 7.1 Earthquake Data",7.1,9,0.0050043664066108,0.0064741021774205,0.0137619512587925,source
20010228_1,"20010228 Nisqually, Washington, Mw 6.8 Earthquake Data",6.8,60,0.0070357616169889,0.06306882178240886,1.3389006005645596,source
20140310_0518,"20140310 05:18 UTC, WNW of Ferndale, California, Mw 6.8 Earthquake Data",6.8,12,0.01185485330869,0.04003446751398735,0.0627042891461239,source
19920628_1505,"19920628 15:05 UTC Big Bear, California, Mw 6.5 Earthquake Data",6.5,21,0.01094673649427,0.0307905610114998,0.0602622142235606,source
20100110_0027,"20100110 00:27 UTC, Offshore Northern California, Mw 6.5 Earthquake Data",6.5,21,0.0315741942312826,0.1234845726677383,0.4365879419392875,source
20031222_1915,"20031222 19:15 UTC, San Simeon, California, Mw 6.4 Earthquake Data",6.4,60,0.0051783659841405,0.00947095231790205,0.1638651596283855,source
20040928_1715,"20040928 17:15 UTC, Parkfield, California, Mw 6.0 Earthquake Data",6.0,50,0.0050903161850033,0.16033220398612835,0.5918720530352828,source
20061015_1714,"20061015 17:14 UTC, Hawi, Hawai`i Island, Hawai`i, Mw 6.0 Earthquake Data",6.0,35,0.0058807566947301,0.0296696564746277,0.2604809867529446,source
20081011_1040,"20081011 10:40 UTC, Virgin Islands Region, Mw 5.9 Earthquake Data",5.9,24,0.0051442736745204,0.00738200529463235,0.0342522588596318,source
20100516_0516,"20100516 11:04 UTC, Moca, Puerto Rico, Mw 5.8 Earthquake Data",5.8,36,0.0077974828631752,0.02062770179942775,0.0797685096351265,source
20110823_1751,"20110823 17:51 UTC, Mineral, Virginia, Mw 5.8 Earthquake Data",5.8,11,0.006136283308964,0.0378579127852824,0.1335904110558373,source
20100615_0426,"20100615 04:26 UTC, Ocotillo, California, Mw 5.7 Earthquake Data",5.7,28,0.0086302403025278,0.054159860783115396,0.1142006523098087,source
19910628_1443,"19910628 14:43 UTC, Sierra Madre, California, Mw 5.6 Earthquake Data",5.6,36,0.0198389281786462,0.07045899351079066,0.279221410953776,source
20050726_0408,"20050726 04:08 UTC, Dillon, Montana, Mw 5.6 Earthquake Data",5.6,20,0.0052189547956763,0.01076591686709585,0.1265492882071362,source
20070109_1549,"20070109 21:20 UTC, British Columbia, Canada, Mw 5.6 Earthquake Data",5.6,8,0.0059921413194429,0.0098345676342914,0.0178499002367728,source
20111106_0353,"20111106 03:53 UTC, Shawnee, Oklahoma, Mw 5.6 Earthquake Data",5.6,3,0.010365503279631,0.015291362253316,0.0169901069864601,source
20040918_2302,"20040918 23:02 UTC, Adobe Hills, California, Mw 5.5 Earthquake Data",5.5,6,0.00574565242598,0.00709028280591945,0.0087849970265197,source
19860713_1347,"19860713 13:47 UTC, Oceanside, California, ML 5.4 Earthquake Data",5.4,9,0.0282838137916606,0.063519490921924,0.1010174924466474,source
20010810_1,"20010810 Mohawk Valley, California, ML 5.4 Earthquake Data",5.4,27,0.0050930817621181,0.0136172490824629,0.023444741598811,source
20040918_2343,"20040918 23:02 UTC, Adobe Hills, California, Mw 5.4 Earthquake Data",5.4,6,0.0052851066895248,0.0060812804904694,0.0075366815029829,source
20060524_0420,"20060524 02:04 UTC, Guadalupe Victoria, Baja California, Mexico, Mw 5.4 Earthquake Data",5.4,17,0.0051134228469982,0.0134927710645676,0.0300544038858061,source
20110823_0546,"20110823 23:30 UTC, Trinidad, Colorado, Mw 5.4 Earthquake Data",5.4,12,0.0135474367458598,0.04610831238534685,0.1019371084314325,source
20070913_0335,"20070913 03:35 UTC, Kepulauan Mentawai Region, Indonesia, Mw 7.0 Earthquake Data",7.0,2,0.0147024298134424,0.01471146540473265,0.0147205009960229,target-fit/cal (disjoint)
20061015_1707,"20061015 17:07 UTC, Kiholo Bay, Hawai`i Island, Hawai`i, Mw 6.7 Earthquake Data",6.7,60,0.0281540855955114,0.1538539578620746,1.036160771111079,target-fit/cal (disjoint)
19871001_1442,"19871001 14:42 UTC, Whittier Narrows, California, Mw 5.9 Earthquake Data",5.9,39,0.0448899199702053,0.1498388129767118,0.4665029163605824,target-fit/cal (disjoint)
20100204_2020,"20100204 20:20 UTC, Petrolia, California, Mw 5.9 Earthquake Data",5.9,20,0.0108262311693581,0.01909837587772185,0.0539909168756286,target-fit/cal (disjoint)
20020222_1,"20020222 19:32 UTC California-Baja California Border, Mw 5.7 Earthquake Data",5.7,25,0.0058383989044174,0.0269041527889731,0.1294443289078383,target-fit/cal (disjoint)
20100320_1808,"20100320 18:08 UTC, Cuba Region, Mw 5.6 Earthquake Data",5.6,2,0.074301251873692,0.07451168797393196,0.0747221240741719,target-fit/cal (disjoint)
20070814_0538,"20070814 05:38 UTC, SE of Pu`u `O`o Crater, Hawai`i Island, Hawai`i, Mw 5.4 Earthquake Data",5.4,37,0.0050606367543965,0.0302109714787525,0.2406704189105318,target-fit/cal (disjoint)
20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",7.9,60,0.0050583703766655,0.011593917538798,0.1089229037907004,target-test (disjoint)
20021023_1127,"20021023 11:27 UTC, Nenana Mountain, Alaska, Mw 6.7 Earthquake Data",6.7,60,0.0051976965384318,0.0083586211038136,0.0302067596862058,target-test (disjoint)
20080221_1416,"20080221 14:16 UTC, Wells, Nevada, Mw 6.0 Earthquake Data",6.0,2,0.0050898633389189,0.005358397922053899,0.0056269325051889,target-test (disjoint)
19990703_1,"July 3, 1999, Mw 5.8, Satsop, Washington Earthquake Data",5.8,12,0.0103653718127827,0.019775061405764648,0.0417919111531948,target-test (disjoint)
20091230_1848,"20091230 22:55 UTC, Guadalupe Victoria, Baja California, Mexico, Mw 5.8 Earthquake Data",5.8,23,0.0121423416640503,0.0850089553085301,0.3283945578274838,target-test (disjoint)
20120213_2107,"20120213 21:07 UTC, Weitchpec, California, Mw 5.6 Earthquake Data",5.6,11,0.0051397734003142,0.0129244843177444,0.0220249242323805,target-test (disjoint)
20070226_1219,"20070226 17:41 UTC, Offshore Northern California, California, Mw 5.4 Earthquake Data",5.4,15,0.0050479645123285,0.0087740600359782,0.0189040621895403,target-test (disjoint)
20080430_0303,"20080430 03:03 UTC, Willow Creek, California, Mw 5.4 Earthquake Data",5.4,4,0.007900832557933,0.0088891403885868,0.0089253594998033,target-test (disjoint)
