model,N,E,coverage_u95,pass_fraction,assessable,agreement
lgbm_direct,500,6,0.6725,0.04833333333333333,0.30583333333333335,0.9516666666666667
lgbm_direct,500,8,0.7308333333333333,0.13749999999999998,0.52,0.8624999999999999
lgbm_direct,500,12,0.7633333333333333,0.33,0.7999999999999999,0.6699999999999999
lgbm_direct,500,16,0.8133333333333334,0.4008333333333333,0.9425,0.6008333333333333
lgbm_direct,500,20,0.7933333333333333,0.4466666666666666,0.9758333333333334,0.5966666666666666
lgbm_direct,500,24,0.8250000000000001,0.43,0.9950000000000001,0.635
lgbm_direct,500,28,0.8133333333333334,0.4658333333333333,0.9975,0.6591666666666667
lgbm_direct,500,32,0.8516666666666666,0.4741666666666666,1.0,0.6591666666666667
lgbm_direct,2000,6,0.7183333333333334,0.017499999999999998,0.30583333333333335,0.9824999999999999
lgbm_direct,2000,8,0.7816666666666666,0.03416666666666667,0.52,0.9658333333333333
lgbm_direct,2000,12,0.8091666666666667,0.09666666666666666,0.7999999999999999,0.9033333333333333
lgbm_direct,2000,16,0.8466666666666667,0.1175,0.9425,0.8825
lgbm_direct,2000,20,0.8391666666666667,0.13666666666666666,0.9758333333333334,0.8633333333333333
lgbm_direct,2000,24,0.8683333333333333,0.145,0.9950000000000001,0.855
lgbm_direct,2000,28,0.875,0.1425,0.9975,0.8574999999999999
lgbm_direct,2000,32,0.8975,0.1225,1.0,0.8775000000000001
ridge_direct,500,6,0.5833333333333334,0.09916666666666667,0.30583333333333335,0.9008333333333334
ridge_direct,500,8,0.6233333333333334,0.25333333333333335,0.52,0.7466666666666667
ridge_direct,500,12,0.7399999999999999,0.48583333333333334,0.7999999999999999,0.7158333333333333
ridge_direct,500,16,0.7725,0.5725,0.9425,0.7308333333333333
ridge_direct,500,20,0.7958333333333334,0.5991666666666666,0.9758333333333334,0.7608333333333333
ridge_direct,500,24,0.7991666666666667,0.6525,0.9950000000000001,0.7958333333333334
ridge_direct,500,28,0.7691666666666667,0.6741666666666667,0.9975,0.7991666666666667
ridge_direct,500,32,0.8175,0.665,1.0,0.81
ridge_direct,2000,6,0.6625,0.0775,0.30583333333333335,0.9225
ridge_direct,2000,8,0.77,0.15,0.52,0.85
ridge_direct,2000,12,0.8033333333333333,0.33916666666666667,0.7999999999999999,0.6608333333333333
ridge_direct,2000,16,0.8441666666666666,0.5199999999999999,0.9425,0.5383333333333333
ridge_direct,2000,20,0.8741666666666666,0.6383333333333333,0.9758333333333334,0.6383333333333333
ridge_direct,2000,24,0.89,0.68,0.9950000000000001,0.68
ridge_direct,2000,28,0.8825,0.7608333333333333,0.9975,0.7608333333333333
ridge_direct,2000,32,0.9033333333333333,0.7825000000000001,1.0,0.7825000000000001
scratch_mlp,500,6,0.5475,0.0008333333333333334,0.30583333333333335,0.9991666666666666
scratch_mlp,500,8,0.5383333333333333,0.004166666666666667,0.52,0.9958333333333332
scratch_mlp,500,12,0.5616666666666666,0.0008333333333333334,0.7999999999999999,0.9991666666666666
scratch_mlp,500,16,0.5675,0.0016666666666666668,0.9425,0.9983333333333334
scratch_mlp,500,20,0.5691666666666667,0.0025,0.9758333333333334,0.9975
scratch_mlp,500,24,0.6025,0.0,0.9950000000000001,1.0
scratch_mlp,500,28,0.6033333333333334,0.0025,0.9975,0.9975
scratch_mlp,500,32,0.6608333333333333,0.0008333333333333334,1.0,0.9991666666666666
scratch_mlp,2000,6,0.48666666666666664,0.0025,0.30583333333333335,0.9975
scratch_mlp,2000,8,0.4475,0.0075,0.52,0.9925
scratch_mlp,2000,12,0.4575,0.012500000000000002,0.7999999999999999,0.9874999999999999
scratch_mlp,2000,16,0.48,0.0033333333333333335,0.9425,0.9966666666666667
scratch_mlp,2000,20,0.48333333333333334,0.013333333333333334,0.9758333333333334,0.9866666666666667
scratch_mlp,2000,24,0.5625,0.0075,0.9950000000000001,0.9925
scratch_mlp,2000,28,0.5758333333333333,0.005,0.9975,0.9950000000000001
scratch_mlp,2000,32,0.6366666666666667,0.004166666666666667,1.0,0.9958333333333332
xgb_direct,500,6,0.7200000000000001,0.010833333333333334,0.30583333333333335,0.9891666666666667
xgb_direct,500,8,0.7691666666666667,0.041666666666666664,0.52,0.9583333333333334
xgb_direct,500,12,0.7883333333333334,0.08166666666666667,0.7999999999999999,0.9183333333333333
xgb_direct,500,16,0.8408333333333333,0.09833333333333333,0.9425,0.9016666666666667
xgb_direct,500,20,0.8450000000000001,0.1075,0.9758333333333334,0.8925000000000001
xgb_direct,500,24,0.8741666666666666,0.09583333333333334,0.9950000000000001,0.9041666666666667
xgb_direct,500,28,0.8716666666666667,0.11166666666666668,0.9975,0.8883333333333333
xgb_direct,500,32,0.9058333333333333,0.085,1.0,0.915
xgb_direct,2000,6,0.67,0.021666666666666667,0.30583333333333335,0.9783333333333334
xgb_direct,2000,8,0.7433333333333333,0.03416666666666667,0.52,0.9658333333333333
xgb_direct,2000,12,0.7408333333333333,0.0775,0.7999999999999999,0.9225
xgb_direct,2000,16,0.805,0.09916666666666667,0.9425,0.9008333333333334
xgb_direct,2000,20,0.8325,0.1025,0.9758333333333334,0.8975
xgb_direct,2000,24,0.8658333333333333,0.08833333333333333,0.9950000000000001,0.9116666666666666
xgb_direct,2000,28,0.8516666666666666,0.09083333333333332,0.9975,0.9091666666666667
xgb_direct,2000,32,0.895,0.0675,1.0,0.9325
