model,N,rep,pop_p_fs,pop_beta_point,pop_p_fu,pop_cond_miss,pop_guarded_pass,pop_unsafe_events
ridge_direct,500,0,0.0013840839650275357,2.992374128263608,0.11163518265854067,0.0343181434170214,True,12
ridge_direct,500,1,0.002630084409108461,2.790653887717077,0.12064645473410505,0.058688431847618384,True,12
ridge_direct,500,2,0.006512429900496506,2.4830888439586856,0.0890242844602234,0.08086474100674662,False,12
ridge_direct,2000,0,0.002995852913174837,2.748234941573061,0.09380803188215307,0.06696423706416693,True,12
ridge_direct,2000,1,0.002932529711553763,2.7552316492732145,0.0908279517293162,0.07968884850020895,True,12
ridge_direct,2000,2,0.0027371120294339534,2.7777171949636843,0.11098678928697432,0.0558054783510604,True,12
lgbm_direct,500,0,0.0029929891071195417,2.7485484789355428,0.02282442289322493,0.0906502716285325,True,12
lgbm_direct,500,1,0.0037354736129019198,2.6750887394042104,0.048108405253409876,0.12638819805720225,True,12
lgbm_direct,500,2,0.0048461645536113625,2.5866168852463707,0.028942101709215486,0.18625293511799748,True,12
lgbm_direct,2000,0,0.00556853768000854,2.538368168404011,0.013766718019724494,0.17588129839181735,True,12
lgbm_direct,2000,1,0.005435547547018407,2.5468153117857946,0.012211123671576955,0.2065846530082154,True,12
lgbm_direct,2000,2,0.006092408815581803,2.506746174500612,0.011391942193283544,0.19306581501716957,True,12
xgb_direct,500,0,0.005391717622869334,2.549639524667646,0.024036417810700882,0.1763299618336711,True,12
xgb_direct,500,1,0.00603113933941871,2.5103171104058415,0.034866356296166655,0.20397393957960874,True,12
xgb_direct,500,2,0.009005276090151206,2.3654011172339673,0.015243424506838013,0.3301393714400284,False,12
xgb_direct,2000,0,0.006473146696319685,2.4852432601849603,0.020632422927751325,0.21397061589908714,False,12
xgb_direct,2000,1,0.007345381012702937,2.4399139195713615,0.012092810978680544,0.2500344176886954,False,12
xgb_direct,2000,2,0.006904314946636871,2.4622034849737053,0.011003491432492357,0.19979468687116134,False,12
scratch_mlp,500,0,0.04196872057070948,1.7282833249446647,0.04370300231482008,0.5774618084874737,False,12
scratch_mlp,500,1,0.03804540052805548,1.7738328596657216,0.038013589881073694,0.4576611393887589,False,12
scratch_mlp,500,2,0.046047751696456606,1.684446019633402,0.04066449457464721,0.5267447204222874,False,12
scratch_mlp,2000,0,0.023425773302045275,1.9876397515034845,0.027152874691611973,0.4237370282439071,False,12
scratch_mlp,2000,1,0.032407775325212884,1.8465281861914218,0.021046053156367678,0.36337058196337463,False,12
scratch_mlp,2000,2,0.03917500508966744,1.7603409779566752,0.03024029034320431,0.40523999941490896,False,12
