model_label,N,pfu_max,plain,guarded
LGBM direct,50,0.15,Pass,Vacuous/guard-fail
LGBM direct,100,0.15,Pass,Pass
LGBM direct,250,0.15,Pass,Pass
LGBM direct,500,0.15,Pass,Pass
LGBM direct,1000,0.15,Pass,Pass
LGBM direct,2000,0.15,Fail,Fail
Ridge direct,50,0.15,Pass,Vacuous/guard-fail
Ridge direct,100,0.15,Pass,Pass
Ridge direct,250,0.15,Pass,Pass
Ridge direct,500,0.15,Pass,Pass
Ridge direct,1000,0.15,Pass,Pass
Ridge direct,2000,0.15,Pass,Pass
MLP scratch,50,0.15,Fail,Fail
MLP scratch,100,0.15,Fail,Fail
MLP scratch,250,0.15,Fail,Fail
MLP scratch,500,0.15,Fail,Fail
MLP scratch,1000,0.15,Fail,Fail
MLP scratch,2000,0.15,Fail,Fail
XGB direct,50,0.15,Fail,Fail
XGB direct,100,0.15,Fail,Fail
XGB direct,250,0.15,Fail,Fail
XGB direct,500,0.15,Fail,Fail
XGB direct,1000,0.15,Fail,Fail
XGB direct,2000,0.15,Fail,Fail
LGBM direct,50,0.3,Pass,Vacuous/guard-fail
LGBM direct,100,0.3,Pass,Pass
LGBM direct,250,0.3,Pass,Pass
LGBM direct,500,0.3,Pass,Pass
LGBM direct,1000,0.3,Pass,Pass
LGBM direct,2000,0.3,Fail,Fail
Ridge direct,50,0.3,Pass,Pass
Ridge direct,100,0.3,Pass,Pass
Ridge direct,250,0.3,Pass,Pass
Ridge direct,500,0.3,Pass,Pass
Ridge direct,1000,0.3,Pass,Pass
Ridge direct,2000,0.3,Pass,Pass
MLP scratch,50,0.3,Fail,Fail
MLP scratch,100,0.3,Fail,Fail
MLP scratch,250,0.3,Fail,Fail
MLP scratch,500,0.3,Fail,Fail
MLP scratch,1000,0.3,Fail,Fail
MLP scratch,2000,0.3,Fail,Fail
XGB direct,50,0.3,Fail,Fail
XGB direct,100,0.3,Fail,Fail
XGB direct,250,0.3,Fail,Fail
XGB direct,500,0.3,Fail,Fail
XGB direct,1000,0.3,Fail,Fail
XGB direct,2000,0.3,Fail,Fail
LGBM direct,50,0.5,Pass,Vacuous/guard-fail
LGBM direct,100,0.5,Pass,Pass
LGBM direct,250,0.5,Pass,Pass
LGBM direct,500,0.5,Pass,Pass
LGBM direct,1000,0.5,Pass,Pass
LGBM direct,2000,0.5,Fail,Fail
Ridge direct,50,0.5,Pass,Pass
Ridge direct,100,0.5,Pass,Pass
Ridge direct,250,0.5,Pass,Pass
Ridge direct,500,0.5,Pass,Pass
Ridge direct,1000,0.5,Pass,Pass
Ridge direct,2000,0.5,Pass,Pass
MLP scratch,50,0.5,Fail,Fail
MLP scratch,100,0.5,Fail,Fail
MLP scratch,250,0.5,Fail,Fail
MLP scratch,500,0.5,Fail,Fail
MLP scratch,1000,0.5,Fail,Fail
MLP scratch,2000,0.5,Fail,Fail
XGB direct,50,0.5,Fail,Fail
XGB direct,100,0.5,Fail,Fail
XGB direct,250,0.5,Fail,Fail
XGB direct,500,0.5,Fail,Fail
XGB direct,1000,0.5,Fail,Fail
XGB direct,2000,0.5,Fail,Fail
