protocol,model_label,n_test,rmse_log,coverage,median_abs_log,q90_abs_log,q95_abs_log,q99_abs_log,tail_ratio_q95_over_median,test_calibration_residual_sd_ratio,spearman_abs_resid_vs_true_log
event-disjoint target,HGB direct,29920,0.1717200256838886,0.6787767379679145,0.1165312379314973,0.27953601205007,0.33813074639589064,0.4494865540262598,2.9016318061828215,1.6496506277957341,-0.03233612291098745
event-disjoint target,LGBM direct,29920,0.1701299102253228,0.6846590909090909,0.11709245260082984,0.27623177895209083,0.329090343097984,0.4478296984122027,2.8105171237625246,1.5576822349459298,-0.01824968309665905
event-disjoint target,MLP finetune,29920,0.37226605400107093,0.5543114973262032,0.19493996267377312,0.6154582613372527,0.795124313360131,1.1587345791335582,4.078816382512346,2.7159554352389748,0.17550781567739948
event-disjoint target,MLP scratch,29920,0.9348288401805661,0.4676470588235294,0.34644243064441516,1.6581801895804111,2.1061773513010444,2.915041633321214,6.079443985493805,3.7400680501896977,0.21075158042233058
event-disjoint target,RF direct,29920,0.19808344512441814,0.6575200534759358,0.1419073480506134,0.3229279712029235,0.3745629523232512,0.46577738163026544,2.6394894800631303,1.6172418948020024,0.06864350245690141
event-disjoint target,Ridge direct,29920,0.46997780511532405,0.4591911764705882,0.3288754669306424,0.7602849395529288,0.9088624355879042,1.2507585890305037,2.763545861508658,1.8759065793476746,-0.1293380776057744
event-disjoint target,XGB direct,29920,0.17122202193785296,0.6203208556149733,0.12249892493756626,0.27973189105563434,0.3267888942207757,0.41518122680788855,2.6676878543001865,1.7135361668312121,0.06704197146832674
main event-held-out,HGB direct,29760,0.16097238384362286,0.7510416666666667,0.10213089006657736,0.26739104573219274,0.33048909507661856,0.4251824227179655,3.235936697126388,1.4713127631139027,-0.13161170908534375
main event-held-out,LGBM direct,29760,0.15491487499221032,0.7836357526881721,0.1012604385076934,0.25867604344298506,0.3170057532256154,0.4113528017860183,3.1305982661879397,1.330962159058915,-0.12441647620308778
main event-held-out,MLP finetune,29760,0.1896153367998113,0.8380040322580645,0.117732368985181,0.3017338517123257,0.37328376398319535,0.5748963806123689,3.1706128671392033,1.068147310617468,0.07785021229130035
main event-held-out,MLP scratch,29760,0.1924090548986194,0.8883400537634408,0.12404800162724625,0.3111870642634482,0.38213360695636134,0.5354196903226968,3.080530133041889,0.9095641135379111,-0.04082431991632544
main event-held-out,RF direct,29760,0.16520964367629085,0.7870967741935484,0.1064907054025539,0.2742669000260321,0.33282449743149745,0.4502514017092733,3.125385414373596,1.3251205969713102,-0.12141823638529609
main event-held-out,Ridge direct,29760,0.23700574471937236,0.8185147849462365,0.1601095394911751,0.39421546670234114,0.4515702355342635,0.6433316688997911,2.820383076294796,1.1588028210968724,-0.16537163675418584
main event-held-out,XGB direct,29760,0.1502847440146125,0.7471774193548387,0.09820467428768405,0.24904100320497008,0.30489161917922647,0.39855780722105855,3.104654858750071,1.438979313475835,-0.07905918869218735
